date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-06-20,8.33,8.65,8.5,8.24,534691.62,0.2,2.41,9.166,9.689,10.25,639406.24,630408.51,808980.38
2018-06-19,8.79,8.89,8.3,8.13,771022.69,-0.73,-8.08,9.508,9.847,10.425,631619.59,671741.1,854276.08
2018-06-15,10.07,10.07,9.04,9.01,1127714.0,-0.97,-9.69,9.914,10.014,10.554,608444.91,740415.88,861581.26
2018-06-14,9.98,10.18,10.02,9.88,381918.34,0.05,0.5,10.12,10.218,10.644,464966.94,734679.02,844920.69
2018-06-13,10.08,10.26,9.97,9.96,381684.56,-0.24,-2.35,10.152,10.296,10.675,518100.65,764443.41,874653.05
2018-06-12,10.24,10.34,10.21,9.97,495758.38,-0.13,-1.26,10.212,10.358,10.718,621410.78,808360.96,907281.78
2018-06-11,10.0,10.45,10.33,9.95,655149.25,0.26,2.58,10.186,10.42,10.762,711862.6,829092.6,949677.49
2018-06-08,10.05,10.1,10.07,9.91,410324.19,-0.11,-1.08,10.114,10.459,10.788,872386.85,848110.06,1014248.14
2018-06-07,10.42,10.48,10.18,9.95,647586.88,-0.09,-0.88,10.316,10.517,10.8,1004391.09,950415.36,1060760.45
2018-06-06,10.09,10.57,10.27,10.05,898235.19,0.2,1.99,10.44,10.668,10.759,1010786.16,955790.82,1048199.31
2018-06-05,9.81,10.14,10.08,9.56,948017.5,0.11,1.1,10.504,10.811,10.705,995311.15,987552.25,1017181.65
2018-06-04,11.16,11.21,9.97,9.97,1457770.5,-1.11,-10.02,10.654,11.002,10.663,946322.59,1036811.06,990196.34
2018-06-01,10.95,11.47,11.08,10.86,1070345.38,0.28,2.59,10.804,11.094,10.627,823833.26,982746.63,936842.95
2018-05-31,10.89,10.98,10.8,10.54,679562.25,0.21,1.98,10.718,11.07,10.519,896439.64,955162.36,899139.6
2018-05-30,10.55,11.13,10.59,10.43,820860.12,-0.23,-2.13,10.896,11.054,10.432,900795.48,984862.7,896610.13
2018-05-29,10.82,11.05,10.83,10.66,703074.69,0.11,1.03,11.118,11.078,10.371,979793.35,1006202.59,872670.47
2018-05-28,10.5,11.05,10.72,10.45,845323.88,0.03,0.28,11.35,11.103,10.305,1127299.54,1070262.39,856265.02
2018-05-25,11.73,11.96,10.65,10.61,1433377.25,-1.03,-8.82,11.384,11.117,10.231,1141660.0,1180386.23,844314.28
2018-05-24,11.65,11.94,11.69,11.5,701341.44,0.09,0.78,11.422,11.082,10.188,1013885.07,1171105.53,804184.8
2018-05-23,11.95,12.1,11.7,11.66,1215849.5,-0.29,-2.42,11.212,10.849,10.09,1068929.92,1140607.8,819853.9
2018-05-22,10.82,11.99,11.99,10.6,1440605.62,1.09,10.0,11.038,10.598,9.965,1032611.82,1046811.05,786899.39
2018-05-21,10.88,11.06,10.89,10.63,917126.19,0.07,0.65,10.856,10.324,9.827,1013225.25,943581.62,763101.63
2018-05-18,10.66,10.86,10.84,10.53,794502.62,0.21,1.98,10.85,10.16,9.774,1219112.46,890939.28,755933.15
2018-05-17,10.83,11.02,10.64,10.46,976565.69,-0.2,-1.84,10.742,9.968,9.72,1328325.99,843116.84,763027.1
2018-05-16,10.98,11.09,10.83,10.75,1034259.0,-0.24,-2.17,10.486,9.81,9.677,1212285.68,808357.56,789762.46
2018-05-15,10.9,11.09,11.08,10.65,1343672.75,0.23,2.12,10.158,9.663,9.673,1061010.28,739138.35,813333.54
2018-05-14,10.7,11.14,10.86,10.47,1946562.25,0.56,5.44,9.792,9.507,9.658,873937.99,642267.64,809054.56
2018-05-11,9.4,10.3,10.3,9.33,1340570.25,0.94,10.04,9.47,9.344,9.644,562766.09,508242.32,827843.24
2018-05-10,9.2,9.44,9.36,9.14,396364.16,0.17,1.85,9.194,9.294,9.653,357907.69,437264.07,829026.15
2018-05-09,9.2,9.21,9.19,9.03,277882.0,-0.06,-0.65,9.134,9.331,9.661,404429.44,499100.01,813164.89
2018-05-08,9.29,9.41,9.25,9.15,408311.28,0.0,0.0,9.168,9.332,9.634,417266.43,526987.73,826865.51
2018-05-07,9.0,9.29,9.25,8.96,390702.75,0.33,3.7,9.222,9.329,9.62,410597.29,582621.65,847479.39
2018-05-04,8.94,9.04,8.92,8.88,316278.25,-0.14,-1.54,9.218,9.388,9.595,453718.56,620927.02,880488.69
2018-05-03,9.31,9.31,9.06,8.73,628972.94,-0.31,-3.31,9.394,9.471,9.635,516620.46,682937.36,911803.03
2018-05-02,9.65,9.73,9.36,9.3,342066.91,-0.14,-1.47,9.528,9.544,9.648,593770.57,771167.37,907571.03
2018-04-27,9.3,9.54,9.52,9.27,374965.62,0.28,3.03,9.496,9.683,9.651,636709.04,887528.73,913776.8
2018-04-26,9.77,9.87,9.23,9.22,606309.06,-0.57,-5.82,9.436,9.808,9.646,754646.0,975841.49,916384.23
2018-04-25,9.6,10.02,9.8,9.55,630787.75,0.07,0.72,9.558,9.944,9.664,788135.48,1147444.16,925615.12
2018-04-24,9.27,9.86,9.73,9.18,1014723.5,0.53,5.76,9.548,10.011,9.654,849254.26,1220788.22,928735.55
2018-04-23,9.2,9.42,9.2,8.97,556759.25,-0.04,-0.43,9.56,9.99,9.659,948564.16,1127229.77,935675.79
2018-04-20,9.65,9.75,9.22,9.18,964650.44,-0.62,-6.3,9.87,9.936,9.667,1138348.41,1126743.29,934594.02
2018-04-19,9.85,10.1,9.84,9.77,773756.44,0.09,0.92,10.18,9.91,9.662,1197036.98,1112337.13,913472.8
2018-04-18,9.9,9.99,9.75,9.53,936381.69,-0.04,-0.41,10.33,9.801,9.617,1506752.84,1140050.37,887424.62
2018-04-17,10.63,10.78,9.79,9.71,1511273.0,-0.96,-8.93,10.474,9.799,9.573,1592322.18,1140668.7,856701.83
2018-04-16,10.58,11.15,10.75,10.36,1505680.5,-0.01,-0.09,10.42,9.752,9.534,1305895.38,1043974.7,798938.56
2018-04-13,10.59,11.09,10.77,10.46,1258093.25,0.16,1.51,10.002,9.619,9.442,1115138.16,940024.88,748828.66
2018-04-12,10.63,11.18,10.59,10.23,2322335.75,0.12,1.15,9.64,9.483,9.362,1027637.28,856926.96,706313.91
2018-04-11,10.47,10.47,10.47,10.2,1364228.38,0.95,9.98,9.272,9.383,9.298,773347.9,703786.08,622416.5
2018-04-10,9.52,9.52,9.52,9.52,79139.0,0.87,10.06,9.124,9.296,9.235,689015.23,636682.88,590382.43
2018-02-05,8.66,9.0,8.66,8.55,551894.44,-0.29,-3.24,9.084,9.328,9.228,782054.03,744121.81,631709.3
2018-02-02,8.2,9.1,8.96,8.01,820588.81,0.21,2.4,9.236,9.398,9.252,764911.6,742444.76,636532.6
2018-02-01,9.76,9.82,8.75,8.75,1050888.88,-0.97,-9.98,9.326,9.414,9.248,686216.65,714608.48,615800.96
2018-01-31,9.32,9.86,9.73,9.27,942565.0,0.42,4.51,9.494,9.433,9.254,634224.25,634798.86,586666.37
2018-01-30,9.35,9.66,9.32,9.23,544333.0,-0.1,-1.06,9.468,9.346,9.209,584350.53,572734.96,569163.53
2018-01-29,9.54,9.66,9.42,9.33,466182.31,0.01,0.11,9.572,9.316,9.18,706189.6,553902.42,569596.27
2018-01-26,9.48,9.61,9.41,9.33,427114.06,-0.19,-1.98,9.56,9.264,9.134,719977.92,557632.44,565719.95
2018-01-25,9.8,9.96,9.59,9.56,790926.88,0.0,0.0,9.502,9.24,9.09,743000.3,555700.86,581464.68
2018-01-24,9.75,9.77,9.6,9.47,693196.38,-0.24,-2.44,9.372,9.213,9.016,635373.47,541046.92,557669.9
2018-01-23,9.37,9.87,9.84,9.35,1153528.38,0.48,5.13,9.224,9.174,8.937,561119.39,544081.99,530299.4
2018-01-22,9.15,9.37,9.36,9.06,535123.88,0.26,2.86,9.06,9.127,8.843,401615.24,519296.78,481272.21
2018-01-19,9.37,9.43,9.12,8.98,542226.0,0.17,1.9,8.968,9.105,8.78,395286.97,530620.45,469601.75
2018-01-18,8.85,9.01,8.94,8.8,252792.73,0.08,0.9,8.978,9.081,8.717,368401.42,516993.43,452359.88
2018-01-17,8.95,8.97,8.86,8.7,321925.94,-0.16,-1.77,9.054,9.075,8.663,446720.37,538533.89,458524.28
2018-01-16,8.9,9.05,9.02,8.83,356007.66,0.14,1.58,9.124,9.072,8.625,527044.59,565592.1,453857.58
2018-01-15,9.14,9.21,8.9,8.73,503482.53,-0.26,-2.84,9.194,9.044,8.582,636978.31,585290.11,445280.65
2018-01-12,9.16,9.28,9.17,9.05,407798.22,-0.14,-1.5,9.242,9.003,8.545,665953.92,573807.45,433516.77
2018-01-11,9.36,9.57,9.32,9.08,644387.5,0.11,1.19,9.184,8.94,8.502,665585.45,607228.5,426283.75
2018-01-10,9.29,9.54,9.21,9.05,723547.06,-0.16,-1.71,9.096,8.818,8.452,630347.4,574292.87,406378.1
2018-01-09,9.12,9.66,9.37,9.1,905676.25,0.21,2.29,9.02,8.7,8.411,604139.6,516516.82,393288.09
2018-01-08,8.81,9.28,9.14,8.75,648360.56,0.25,2.81,8.894,8.559,8.355,533601.91,443247.65,363309.1
2018-01-05,8.85,8.96,8.88,8.79,405955.88,-0.01,-0.11,8.764,8.454,8.307,481660.98,408583.05,342197.84
2018-01-04,8.74,8.97,8.88,8.72,468197.25,0.05,0.57,8.696,8.353,8.269,548871.56,387726.33,333149.44
2018-01-03,8.75,9.05,8.83,8.72,592508.06,0.09,1.03,8.54,8.25,8.235,518238.34,378514.68,326099.4
2018-01-02,8.65,8.89,8.74,8.61,552987.81,0.25,2.94,8.38,8.177,8.201,428894.03,342123.06,319361.59
2017-12-29,8.55,8.62,8.49,8.39,388655.91,-0.05,-0.58,8.224,8.119,8.198,352893.39,305271.2,316722.23
2017-12-28,8.15,8.67,8.54,8.1,742008.75,0.43,5.3,8.144,8.086,8.2,335505.11,293226.09,315427.37
2017-12-27,8.03,8.3,8.1,8.01,315031.16,0.07,0.87,8.01,8.064,8.199,226581.1,245339.0,302006.48
2017-12-26,7.93,8.05,8.03,7.85,145786.53,0.08,1.01,7.96,8.085,8.229,238791.02,238463.33,322009.02
2017-12-25,8.11,8.12,7.96,7.94,172984.58,-0.12,-1.49,7.974,8.121,8.249,255352.08,270059.37,339341.16
2017-12-22,7.85,8.12,8.09,7.82,301714.53,0.22,2.79,8.014,8.15,8.263,257649.01,283370.55,359297.3
2017-12-21,7.85,7.97,7.87,7.8,197388.7,0.03,0.38,8.028,8.16,8.286,250947.07,275812.64,379988.05
2017-12-20,8.07,8.12,7.85,7.78,376080.75,-0.24,-2.97,8.118,8.185,8.302,264096.89,278572.56,413438.41
2017-12-19,8.16,8.17,8.1,8.05,228591.83,-0.06,-0.73,8.21,8.22,8.306,238135.63,273684.11,408996.29
2017-12-18,8.16,8.2,8.16,8.06,184469.23,-0.01,-0.12,8.268,8.225,8.29,284766.66,296600.13,411090.46
2017-12-15,8.4,8.4,8.16,8.11,268204.84,-0.15,-1.8,8.286,8.276,8.277,309092.09,328173.27,418850.86
2017-12-14,8.3,8.43,8.32,8.21,263137.81,0.02,0.24,8.292,8.313,8.258,300678.2,337628.65,422254.31
2017-12-13,8.3,8.36,8.31,8.19,246274.45,-0.08,-0.95,8.252,8.334,8.229,293048.23,358673.96,422363.13
2017-12-12,8.25,8.54,8.39,8.25,461746.97,0.14,1.7,8.23,8.373,8.204,309232.59,405554.72,435685.72
2017-12-11,8.18,8.31,8.25,8.11,306096.38,0.07,0.86,8.182,8.376,8.197,308433.61,408622.96,431784.57
2017-12-08,8.15,8.28,8.19,8.09,226135.39,0.08,0.99,8.266,8.375,8.202,347254.45,435224.05,436856.02
2017-12-07,8.16,8.27,8.12,8.07,224987.95,-0.08,-0.98,8.334,8.412,8.205,374579.1,484163.47,440405.22
2017-12-06,8.13,8.22,8.2,7.92,327196.28,0.06,0.74,8.416,8.419,8.211,424299.69,548304.26,444761.92
2017-12-05,8.61,8.66,8.15,8.01,457752.03,-0.51,-5.89,8.516,8.391,8.219,501876.85,544308.47,446469.58
2017-12-04,8.57,8.82,8.67,8.51,500200.62,0.14,1.64,8.57,8.354,8.224,508812.3,525580.79,442454.19
2017-12-01,8.49,8.61,8.53,8.35,362758.62,0.0,0.0,8.484,8.277,8.205,523193.64,509528.46,434699.78
2017-11-30,8.61,8.83,8.53,8.48,473590.88,-0.17,-1.95,8.49,8.203,8.184,593747.83,506879.97,440667.53
2017-11-29,8.36,8.75,8.7,8.35,715082.12,0.28,3.33,8.422,8.124,8.183,672308.83,486052.31,435785.2
2017-11-28,8.17,8.51,8.42,8.12,492429.28,0.18,2.18,8.266,8.035,8.18,586740.09,465816.72,422932.43
2017-11-27,8.54,8.54,8.24,8.18,572107.31,-0.32,-3.74,8.138,8.017,8.189,542349.27,454946.19,419384.99
2017-11-24,8.16,8.58,8.56,8.11,715529.56,0.36,4.39,8.07,8.029,8.197,495863.27,438487.99,424549.55
2017-11-23,7.9,8.47,8.19,7.87,866395.88,0.28,3.54,7.916,7.997,8.222,420012.11,396646.98,408324.58
2017-11-22,7.84,7.94,7.92,7.72,287238.41,0.15,1.93,7.826,8.003,8.277,299795.79,341219.59,389506.81
2017-11-21,7.85,7.91,7.78,7.65,270475.19,-0.13,-1.64,7.804,8.046,8.337,344893.35,348630.68,398922.62
2017-11-20,7.72,7.92,7.9,7.56,339677.31,0.11,1.41,7.896,8.093,8.412,367543.1,359327.59,403835.66
2017-11-17,7.7,7.9,7.79,7.65,336273.75,0.05,0.65,7.988,8.132,8.487,381112.7,359871.11,405134.97
2017-11-16,7.82,7.9,7.74,7.73,265314.31,-0.07,-0.9,8.078,8.165,8.567,373281.86,374455.09,416627.21
2017-11-15,8.12,8.13,7.81,7.8,512726.19,-0.42,-5.1,8.18,8.242,8.631,382643.38,385518.08,422197.06
2017-11-14,8.39,8.42,8.24,8.19,383723.94,-0.12,-1.44,8.288,8.325,8.69,352368.01,380048.14,416916.62
2017-11-13,8.2,8.37,8.36,8.11,407525.31,0.13,1.58,8.29,8.36,8.739,351112.08,383823.8,413129.28
2017-11-10,8.23,8.29,8.24,8.09,297119.53,-0.01,-0.12,8.276,8.364,8.786,338629.52,410611.11,425196.79
2017-11-09,8.31,8.44,8.25,8.17,312121.91,-0.1,-1.2,8.252,8.446,8.853,375628.33,420002.19,429380.5
2017-11-08,8.29,8.43,8.35,8.24,361349.38,0.1,1.21,8.304,8.55,8.92,388392.78,437794.03,443802.23
2017-11-07,8.32,8.42,8.25,8.17,377444.28,-0.04,-0.48,8.362,8.627,8.987,407728.26,449214.56,473009.98
2017-11-06,8.19,8.31,8.29,8.05,345112.5,0.17,2.09,8.43,8.731,9.073,416535.51,448343.73,513095.09
2017-11-03,8.49,8.59,8.12,8.03,482113.56,-0.39,-4.58,8.452,8.842,9.177,482592.7,450398.83,562227.89
2017-11-02,8.55,8.76,8.51,8.4,375944.19,-0.13,-1.5,8.64,8.968,9.299,464376.04,458799.33,617252.9
2017-11-01,8.71,8.84,8.64,8.62,458026.78,0.05,0.58,8.796,9.019,9.373,487195.27,458876.04,644213.46
2017-10-31,8.35,8.74,8.59,8.32,421480.53,0.19,2.26,8.892,9.054,9.439,490700.86,453785.11,673655.3
2017-10-30,9.0,9.01,8.4,8.35,675398.44,-0.66,-7.29,9.032,9.117,9.503,480151.95,442434.76,699022.68
2017-10-27,9.23,9.25,9.06,9.03,391030.28,-0.23,-2.48,9.232,9.208,9.561,418204.97,439782.47,698932.09
2017-10-26,9.11,9.39,9.29,9.05,490040.31,0.17,1.86,9.296,9.259,9.583,453222.61,438758.81,722367.2
2017-10-25,9.35,9.35,9.12,9.04,475554.72,-0.17,-1.83,9.242,9.29,9.61,430556.81,449810.43,763876.15
2017-10-24,9.4,9.53,9.29,9.22,368736.0,-0.11,-1.17,9.216,9.346,9.668,416869.36,496805.4,839695.09
2017-10-23,9.35,9.45,9.4,9.21,365663.53,0.02,0.21,9.202,9.414,9.707,404717.56,577846.45,927159.7
2017-10-20,9.0,9.45,9.38,8.98,566118.5,0.36,3.99,9.184,9.511,9.71,461359.98,674056.94,946534.39
2017-10-19,9.1,9.19,9.02,8.97,376711.28,0.03,0.33,9.222,9.63,9.709,424295.0,775706.48,962120.94
2017-10-18,9.27,9.3,8.99,8.98,407117.5,-0.23,-2.5,9.338,9.727,9.743,469064.05,829550.89,1012201.8
2017-10-17,9.25,9.39,9.22,9.15,307977.0,-0.09,-0.97,9.476,9.824,9.775,576741.44,893525.49,1045133.01
2017-10-16,9.62,9.62,9.31,9.11,648875.62,-0.26,-2.72,9.626,9.889,9.782,750975.34,955610.61,1128443.03
2017-10-13,9.6,9.72,9.57,9.5,380793.59,-0.03,-0.31,9.838,9.913,9.802,886753.89,958081.71,1167676.67
2017-10-12,9.6,9.65,9.6,9.38,600556.56,-0.08,-0.83,10.038,9.907,9.788,1127117.95,1005975.59,1215151.34
2017-10-11,9.8,9.89,9.68,9.4,945504.44,-0.29,-2.91,10.116,9.93,9.782,1190037.73,1077941.87,1257558.5
2017-10-10,10.31,10.45,9.97,9.8,1179146.5,-0.4,-3.86,10.172,9.99,9.791,1210309.53,1182584.78,1330145.95
2017-10-09,10.8,10.8,10.37,10.29,1327768.38,-0.2,-1.89,10.152,10.0,9.771,1160245.88,1276472.95,1371325.79
2017-09-29,10.08,10.6,10.57,9.97,1582613.88,0.58,5.81,9.988,9.908,9.716,1029409.53,1219011.84,1437467.03
2017-09-28,9.92,10.24,9.99,9.92,915155.44,0.03,0.3,9.776,9.788,9.634,884833.23,1148535.41,1469273.78
2017-09-27,9.87,10.16,9.96,9.71,1046863.44,0.09,0.91,9.744,9.759,9.541,965846.01,1194852.71,1479403.44
2017-09-26,9.59,10.02,9.87,9.51,928828.25,0.32,3.35,9.808,9.725,9.43,1154860.03,1196740.53,1449853.32
2017-09-25,9.52,9.78,9.55,9.34,673586.62,0.04,0.42,9.848,9.674,9.319,1392700.03,1301275.45,1426980.49
2017-09-22,9.73,9.8,9.51,9.4,859732.38,-0.32,-3.25,9.828,9.691,9.222,1408614.15,1377271.64,1410198.67
2017-09-21,10.11,10.38,9.83,9.73,1320219.38,-0.45,-4.38,9.8,9.669,9.121,1412237.6,1424327.09,1381529.27
2017-09-20,10.02,10.68,10.28,9.81,1991933.5,0.21,2.08,9.774,9.634,8.995,1423859.4,1437175.14,1327080.45
2017-09-19,9.48,10.35,10.07,9.47,2118028.25,0.62,6.56,9.642,9.591,8.852,1238621.02,1477707.11,1245224.8
2017-09-18,9.25,9.68,9.45,9.22,753157.25,0.08,0.85,9.5,9.541,8.731,1209850.87,1466178.63,1162282.57
2017-09-15,9.6,9.78,9.37,9.2,877849.62,-0.33,-3.4,9.554,9.524,8.639,1345929.12,1655922.23,1144262.43
2017-09-14,9.63,9.88,9.7,9.37,1378328.38,0.08,0.83,9.538,9.48,8.547,1436416.58,1790012.14,1116440.29
2017-09-13,9.25,9.64,9.62,9.16,1065741.62,0.26,2.78,9.494,9.322,8.443,1450490.88,1763954.18,1075920.84
2017-09-12,9.61,10.08,9.36,9.26,1974177.5,-0.36,-3.7,9.54,9.135,8.333,1716793.2,1702966.11,1046904.6
2017-09-11,9.28,9.79,9.72,9.25,1433548.5,0.43,4.63,9.582,8.964,8.244,1722506.38,1552685.53,962771.53
2017-09-08,9.52,9.61,9.29,9.17,1330286.88,-0.19,-2.0,9.494,8.753,8.141,1965915.33,1443125.7,917739.96
2017-09-07,9.71,9.88,9.48,9.41,1448699.88,-0.37,-3.76,9.422,8.573,8.055,2143607.7,1338731.46,892786.18
2017-09-06,9.42,10.48,9.85,9.34,2397253.25,0.28,2.93,9.15,8.356,7.987,2077417.48,1216985.76,854910.11
2017-09-05,9.21,9.59,9.57,9.04,2002743.38,0.29,3.12,8.73,8.113,7.912,1689139.03,1012742.49,784316.91
2017-09-04,9.28,9.49,9.28,9.01,2650593.25,0.35,3.92,8.346,7.921,7.845,1382864.67,858386.51,758763.37
2017-09-01,8.13,8.93,8.93,8.09,2218748.75,0.81,9.97,8.012,7.753,7.786,920336.06,632602.64,664424.65
2017-08-31,7.76,8.25,8.12,7.73,1117748.75,0.37,4.77,7.724,7.613,7.73,533855.22,442868.44,608253.54
2017-08-30,7.65,7.8,7.75,7.62,455861.0,0.1,1.31,7.562,7.564,7.732,356554.05,387887.51,604289.58
2017-08-29,7.65,7.8,7.65,7.61,471371.62,0.04,0.53,7.496,7.531,7.74,336345.95,390843.08,637578.17
2017-08-28,7.45,7.63,7.61,7.44,337950.19,0.12,1.6,7.496,7.524,7.754,333908.35,372857.54,661079.37
2017-08-25,7.34,7.54,7.49,7.33,286344.53,0.18,2.46,7.494,7.528,7.774,344869.21,392354.23,704977.92
2017-08-24,7.42,7.47,7.31,7.3,231242.89,-0.11,-1.48,7.502,7.536,7.777,351881.67,446840.9,716394.31
2017-08-23,7.56,7.58,7.42,7.39,354820.53,-0.23,-3.01,7.566,7.618,7.776,419220.98,492834.46,731913.56
2017-08-22,7.55,7.75,7.65,7.47,459183.59,0.05,0.66,7.566,7.711,7.783,445340.21,555891.33,743064.91
2017-08-21,7.49,7.71,7.6,7.45,392754.5,0.07,0.93,7.552,7.769,7.781,411806.73,659140.23,740470.84
2017-08-18,7.45,7.54,7.53,7.36,321406.84,-0.1,-1.31,7.562,7.818,7.781,439839.26,696246.66,750041.59
2017-08-17,7.71,7.8,7.63,7.5,567939.44,0.21,2.83,7.57,7.847,7.787,541800.14,773638.64,757307.03
2017-08-16,7.55,7.61,7.42,7.27,485416.69,-0.16,-2.11,7.67,7.899,7.786,566447.94,820691.64,763014.34
2017-08-15,7.6,7.65,7.58,7.53,291516.19,-0.07,-0.92,7.856,7.949,7.798,666442.45,884313.26,784782.67
2017-08-14,7.54,7.74,7.65,7.44,532917.12,0.08,1.06,7.986,7.984,7.78,906473.74,949301.2,786344.73
2017-08-11,8.0,8.01,7.57,7.41,831211.25,-0.56,-6.89,8.074,8.02,7.748,952654.06,1017601.61,783540.93
2017-08-10,8.22,8.3,8.13,8.0,691178.44,-0.22,-2.63,8.124,8.017,7.737,1005477.14,985947.71,762957.43
2017-08-09,8.32,8.43,8.35,8.01,985389.25,0.12,1.46,8.128,7.934,7.697,1074935.34,970992.66,760809.07
2017-08-08,8.21,8.55,8.23,8.1,1491672.62,0.14,1.73,8.042,7.855,7.65,1102184.06,930238.49,733366.23
2017-08-07,7.83,8.1,8.09,7.64,763818.75,0.27,3.45,7.982,7.792,7.602,992128.66,821801.44,687439.62
2017-08-04,8.15,8.28,7.82,7.8,1095326.62,-0.33,-4.05,7.966,7.743,7.579,1082549.16,803836.52,698498.02
2017-08-03,7.93,8.25,8.15,7.9,1038469.44,0.23,2.9,7.91,7.727,7.561,966418.28,740975.42,683722.03
2017-08-02,7.92,8.28,7.92,7.84,1121632.88,-0.01,-0.13,7.74,7.673,7.516,867049.98,705337.05,667129.76
2017-08-01,8.0,8.06,7.93,7.84,941395.62,-0.08,-1.0,7.668,7.647,7.481,758292.92,685252.08,645725.63
2017-07-31,7.56,8.1,8.01,7.56,1215921.25,0.47,6.23,7.602,7.576,7.431,651474.22,623388.26,629591.71
2017-07-28,7.23,7.62,7.54,7.22,514672.22,0.24,3.29,7.52,7.476,7.365,525123.88,549480.25,577604.52
2017-07-27,7.46,7.49,7.3,7.15,541627.94,-0.26,-3.44,7.544,7.457,7.32,515532.56,539967.15,560700.23
2017-07-26,7.71,7.82,7.56,7.5,577847.56,-0.04,-0.53,7.606,7.46,7.284,543624.12,550625.49,543628.68
2017-07-25,7.56,7.65,7.6,7.44,407302.12,0.0,0.0,7.626,7.445,7.235,612211.23,536493.97,522051.32
2017-07-24,7.64,7.77,7.6,7.46,584169.56,-0.06,-0.78,7.55,7.411,7.183,595302.29,553077.8,508360.47
2017-07-21,7.55,7.73,7.66,7.52,466715.62,0.05,0.66,7.432,7.414,7.131,573836.62,593159.52,488265.29
2017-07-20,7.6,7.77,7.61,7.49,682085.75,-0.05,-0.65,7.37,7.394,7.069,564401.73,626468.63,471915.38
2017-07-19,7.2,7.74,7.66,7.18,920783.12,0.44,6.09,7.314,7.359,7.006,557626.86,628922.46,445404.19
2017-07-18,7.0,7.24,7.22,6.99,322757.41,0.21,3.0,7.264,7.314,6.946,460776.71,606199.17,407800.88
2017-07-17,7.33,7.35,7.01,6.88,476841.22,-0.34,-4.63,7.272,7.286,6.91,510853.3,635795.16,402113.85
2017-07-14,7.25,7.48,7.35,7.2,419541.16,0.02,0.27,7.396,7.253,6.888,612482.41,605728.78,387307.45
2017-07-13,7.41,7.62,7.33,7.26,648211.38,-0.08,-1.08,7.418,7.182,6.851,688535.53,581433.31,382401.81
2017-07-12,7.28,7.42,7.41,7.18,436532.38,0.15,2.07,7.404,7.108,6.805,700218.06,536631.87,357457.2
2017-07-11,7.51,7.58,7.26,7.24,573140.38,-0.37,-4.85,7.364,7.025,6.755,751621.64,507608.67,345567.36
2017-07-10,7.43,7.88,7.63,7.39,984986.75,0.17,2.28,7.3,6.954,6.71,760737.01,463643.15,330274.25
2017-07-07,7.28,7.6,7.46,7.21,799806.75,0.2,2.75,7.11,6.847,6.635,598975.16,383371.07,287398.82
2017-07-06,7.15,7.35,7.26,7.12,706624.06,0.05,0.69,6.946,6.744,6.576,474331.09,317362.13,251263.03
2017-07-05,6.95,7.29,7.21,6.84,693550.25,0.27,3.89,6.812,6.653,6.528,373045.67,261885.92,219211.53
2017-07-04,7.05,7.23,6.94,6.87,618717.25,0.26,3.89,6.686,6.578,6.483,263595.69,209402.58,189858.26
2017-07-03,6.7,6.7,6.68,6.58,176177.48,0.04,0.6,6.608,6.534,6.448,166549.29,168432.54,162300.44
2017-06-30,6.56,6.66,6.64,6.51,176586.41,0.05,0.76,6.584,6.523,6.425,167766.97,168886.12,158446.95
2017-06-29,6.55,6.68,6.59,6.53,200196.95,0.01,0.15,6.542,6.519,6.402,160393.17,183370.32,157151.36
2017-06-28,6.54,6.61,6.58,6.51,146300.38,0.03,0.46,6.494,6.502,6.374,150726.17,178282.54,152204.22
2017-06-27,6.55,6.58,6.55,6.5,133485.22,-0.01,-0.15,6.47,6.485,6.353,155209.46,183526.05,149032.71
2017-06-26,6.47,6.56,6.56,6.46,182265.91,0.13,2.02,6.46,6.466,6.336,170315.79,196905.34,146422.75
2017-06-23,6.32,6.45,6.43,6.28,139717.38,0.08,1.26,6.462,6.423,6.316,170005.26,191426.58,142460.32
2017-06-22,6.46,6.52,6.35,6.33,151861.98,-0.11,-1.7,6.496,6.407,6.3,206347.47,185163.93,140298.77
2017-06-21,6.51,6.55,6.46,6.38,168716.81,-0.04,-0.61,6.51,6.402,6.289,205838.9,176537.15,137781.37
2017-06-20,6.52,6.64,6.5,6.48,209016.88,-0.07,-1.06,6.5,6.388,6.279,211842.64,170313.94,134242.61
2017-06-19,6.5,6.6,6.57,6.49,180713.27,-0.03,-0.46,6.472,6.361,6.272,223494.89,156168.33,127439.15
2017-06-16,6.42,6.72,6.6,6.38,321428.41,0.18,2.8,6.384,6.326,6.263,212847.9,148007.78,123210.39
2017-06-15,6.41,6.47,6.42,6.34,149319.12,0.01,0.16,6.318,6.285,6.255,163980.38,130932.41,111698.81
2017-06-14,6.34,6.53,6.41,6.33,198735.52,0.05,0.79,6.294,6.246,6.256,147235.39,126125.9,109513.57
2017-06-13,6.1,6.47,6.36,6.09,267278.12,0.23,3.75,6.276,6.221,6.251,128785.24,114539.37,103842.0
2017-06-12,6.2,6.24,6.13,6.09,127478.31,-0.14,-2.23,6.25,6.205,6.246,88841.78,95940.16,95209.95
2017-06-09,6.3,6.31,6.27,6.21,77090.85,-0.03,-0.48,6.268,6.208,6.255,83167.66,93494.06,97157.82
2017-06-08,6.34,6.37,6.3,6.28,65594.16,-0.02,-0.32,6.252,6.193,6.262,97884.43,95433.61,99264.06
